country,confederation
Afghanistan,AFC
Anguilla,CONCACAF
Albania,UEFA
Algeria,CAF
Andorra,UEFA
Angola,CAF
Netherlands Antilles,CONCACAF
Argentina,CONMEBOL
Armenia,UEFA
Aruba,CONCACAF
American Samoa,OFC
Antigua and Barbuda,CONCACAF
Australia,AFC
Austria,UEFA
Azerbaijan,UEFA
Bahamas,CONCACAF
Bangladesh,AFC
Burundi,CAF
Belgium,UEFA
Benin,CAF
Bermuda,CONCACAF
Burkina Faso,CAF
Bahrain,AFC
Bhutan,AFC
Bosnia and Herzegovina,UEFA
Belarus,UEFA
Belize,CONCACAF
Bolivia (Plurinational State of),CONMEBOL
Botswana,CAF
Brazil,CONMEBOL
Barbados,CONCACAF
Brunei Darussalam,AFC
Bulgaria,UEFA
Cambodia,AFC
Canada,CONCACAF
Cayman Islands,CONCACAF
Congo,CAF
Chad,CAF
Chile,CONMEBOL
China,AFC
Cote d'Ivoire,CAF
Cameroon,CAF
"Congo, Democratic Republic of the",CAF
Cook Islands,OFC
Colombia,CONMEBOL
Comoros,CAF
Cape Verde Islands,CAF
Costa Rica,CONCACAF
Croatia,UEFA
Central African Republic,CAF
Cuba,CONCACAF
Cyprus,UEFA
Czechia,UEFA
Denmark,UEFA
Djibouti,CAF
Dominica,CONCACAF
Dominican Republic,CONCACAF
Ecuador,CONMEBOL
Egypt,CAF
United Kingdom of Great Britain and Northern Ireland,UEFA
Equatorial Guinea,CAF
Eritrea,CAF
Spain,UEFA
Estonia,UEFA
Ethiopia,CAF
Fiji,OFC
Finland,UEFA
France,UEFA
Faroe Islands,UEFA
Gabon,CAF
Gambia,CAF
Georgia,UEFA
Germany,UEFA
Ghana,CAF
Guinea-Bissau,CAF
Greece,UEFA
Grenada,CONCACAF
Guatemala,CONCACAF
Guinea,CAF
Guam,AFC
Guyana,CONCACAF
Haiti,CONCACAF
Hong Kong,AFC
Honduras,CONCACAF
Hungary,UEFA
Indonesia,AFC
India,AFC
Ireland,UEFA
Iran,AFC
Iraq,AFC
Iceland,UEFA
Israel,UEFA
Italy,UEFA
Jamaica,CONCACAF
Jordan,AFC
Japan,AFC
Kazakhstan,UEFA
Kenya,CAF
Kyrgyzstan,AFC
Korea Republic,AFC
Saudi Arabia,AFC
Kuwait,AFC
Laos,AFC
Liberia,CAF
Libya,CAF
St. Lucia,CONCACAF
Lesotho,CAF
Lebanon,AFC
Liechtenstein,UEFA
Lithuania,UEFA
Luxembourg,UEFA
Latvia,UEFA
Macau,AFC
Madagascar,CAF
Morocco,CAF
Malaysia,AFC
Republic of Moldova,UEFA
Maldives,AFC
Mexico,CONCACAF
The former Yugoslav Republic of Macedonia,UEFA
Mali,CAF
Malta,UEFA
Montenegro,UEFA
Mongolia,AFC
Mozambique,CAF
Mauritius,CAF
Montserrat,CONCACAF
Mauritania,CAF
Malawi,CAF
Myanmar,AFC
Namibia,CAF
Nicaragua,CONCACAF
New Caledonia,OFC
Netherlands,UEFA
Nepal,AFC
Nigeria,CAF
Niger,CAF
Ireland,UEFA
Norway,UEFA
New Zealand,OFC
Oman,AFC
Pakistan,AFC
Panama,CONCACAF
Paraguay,CONMEBOL
Peru,CONMEBOL
Philippines,AFC
Palestine,AFC
Papua New Guinea,OFC
Poland,UEFA
Portugal,UEFA
Korea DPR,AFC
Puerto Rico,CONCACAF
Qatar,AFC
Romania,UEFA
South Africa,CAF
Russian Federation,UEFA
Rwanda,CAF
Samoa,OFC
Scotland,UEFA
Senegal,CAF
Seychelles,CAF
Singapore,AFC
St. Kitts and Nevis,CONCACAF
Sierra Leone,CAF
El Salvador,CONCACAF
San Marino,UEFA
Solomon Islands,OFC
Somalia,CAF
Serbia,UEFA
Sri Lanka,AFC
Sao Tome e Principe,CAF
Sudan,CAF
Switzerland,UEFA
Suriname,CONCACAF
Slovakia,UEFA
Slovenia,UEFA
Sweden,UEFA
Swaziland,CAF
Syria,AFC
Tahiti,OFC
Tanzania,CAF
Turks and Caicos Islands,CONCACAF
Tonga,OFC
Thailand,AFC
Tajikistan,AFC
Turkmenistan,AFC
Timor-Leste,AFC
Togo,CAF
Chinese Taipei,AFC
Trinidad and Tobago,CONCACAF
Tunisia,CAF
Turkey,UEFA
United Arab Emirates,AFC
Uganda,CAF
Ukraine,UEFA
Uruguay,CONMEBOL
United States of America,CONCACAF
Uzbekistan,AFC
Vanuatu,OFC
Venezuela (Bolivarian Republic of),CONMEBOL
British Virgin Islands,CONCACAF
Vietnam,AFC
St. Vincent and the Grenadines,CONCACAF
British Virgin Islands,CONCACAF
Wales,UEFA
Yemen,AFC
Zambia,CAF
Zimbabwe,CAF
United Kingdom,UEFA
